Gene,Gene Symbol,Description,Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Canonical Pathways,Hallmark Gene Sets
5000,ORC4,origin recognition complex subunit 4,GO:0040038 polar body extrusion after meiotic divisions;GO:0033206 meiotic cytokinesis;GO:0006270 DNA replication initiation,,Human disease related genes:Congenital malformations:Other congenital malformations; Predicted intracellular proteins; Disease related genes,Nucleoli;Nucleoplasm (Supported),,
57142,RTN4,reticulon 4,GO:1905578 regulation of ERBB3 signaling pathway;GO:1905580 positive regulation of ERBB3 signaling pathway;GO:1905552 positive regulation of protein localization to endoplasmic reticulum,,Predicted intracellular proteins,Endoplasmic reticulum (Enhanced),(M153)PID P75 NTR PATHWAY,
124512,METTL23,"methyltransferase 23, arginine",GO:0044727 epigenetic programing of male pronucleus;GO:0044725 epigenetic programming in the zygotic pronuclei;GO:0043045 post-fertilization epigenetic regulation of gene expression,,Enzymes; Disease related genes; ENZYME proteins:Transferases; Predicted intracellular proteins; Human disease related genes:Other diseases:Mental and behavioural disorders; Potential drug targets,Vesicles (Approved),,
26292,MYCBP,MYC binding protein,GO:0007283 spermatogenesis;GO:0048232 male gamete generation;GO:0007276 gamete generation,,Predicted intracellular proteins,Nucleoplasm (Approved); Additional: Mitochondria,(M17)PID NOTCH PATHWAY,
10758,TRAF3IP2,TRAF3 interacting protein 2,GO:0002334 transitional two stage B cell differentiation;GO:0110012 protein localization to P-body;GO:0002332 transitional stage B cell differentiation,,Enzymes; Disease related genes; Potential drug targets; Human disease related genes:Immune system diseases:Other immune system diseases; ENZYME proteins:Transferases; Predicted intracellular proteins; Human disease related genes:Skin diseases:Skin and soft tissue diseases,Golgi apparatus (Approved); Additional: Vesicles,,
55064,SPATA6L,spermatogenesis associated 6 like,GO:0007283 spermatogenesis;GO:0048232 male gamete generation;GO:0007276 gamete generation,,Predicted intracellular proteins,,,
1687,GSDME,gasdermin E,GO:0002836 positive regulation of response to tumor cell;GO:0002839 positive regulation of immune response to tumor cell;GO:0002837 regulation of immune response to tumor cell,,Disease related genes; Transporters:Transporter channels and pores; Predicted intracellular proteins; Human disease related genes:Nervous system diseases:Ear disease; Potential drug targets,Cytosol (Supported),,(M5898)HALLMARK DNA REPAIR
11164,NUDT5,nudix hydrolase 5,GO:0019303 D-ribose catabolic process;GO:0006014 D-ribose metabolic process;GO:0019323 pentose catabolic process,,Enzymes; ENZYME proteins:Hydrolases; Predicted intracellular proteins; ENZYME proteins:Transferases,Vesicles (Approved); Additional: Centrosome;Nucleoplasm,,
27306,HPGDS,hematopoietic prostaglandin D synthase,GO:1905937 negative regulation of germ cell proliferation;GO:2000255 negative regulation of male germ cell proliferation;GO:2000254 regulation of male germ cell proliferation,,ENZYME proteins:Isomerase; Enzymes; ENZYME proteins:Transferases; Predicted intracellular proteins,Cytosol;Vesicles (Approved); Additional: Nucleoplasm,,
493860,CCDC73,coiled-coil domain containing 73,,,Predicted intracellular proteins,,,
10388,SYCP2,synaptonemal complex protein 2,GO:0000080 mitotic G1 phase;GO:0022403 cell cycle phase;GO:0044848 biological phase,,Human disease related genes:Reproductive system diseases:Reproductive system diseases; Predicted intracellular proteins; Disease related genes,Nucleoplasm (Approved),,
27329,ANGPTL3,angiopoietin like 3,GO:0010519 negative regulation of phospholipase activity;GO:0051005 negative regulation of lipoprotein lipase activity;GO:0051004 regulation of lipoprotein lipase activity,,Predicted secreted proteins; FDA approved drug targets:Biotech drugs; Human disease related genes:Congenital disorders of metabolism:Other congenital disorders of metabolism; Disease related genes,,(M160)PID AVB3 INTEGRIN PATHWAY; (M5883)NABA SECRETED FACTORS; (M5885)NABA MATRISOME ASSOCIATED,(M5934)HALLMARK XENOBIOTIC METABOLISM
2263,FGFR2,fibroblast growth factor receptor 2,GO:0035602 fibroblast growth factor receptor signaling pathway involved in negative regulation of apoptotic process in bone marrow cell;GO:0035603 fibroblast growth factor receptor signaling pathway involved in hemopoiesis;GO:0035604 fibroblast growth factor receptor signaling pathway involved in positive regulation of cell proliferation in bone marrow,yes,Predicted secreted proteins; Enzymes; Human disease related genes:Congenital malformations:Congenital malformations of the musculoskeletal system; Human disease related genes:Cancers:Cancers of the digestive system; CD markers; ENZYME proteins:Transferases; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers; Kinases:Tyr protein kinases; FDA approved drug targets:Biotech drugs; Cancer-related genes:Mutated cancer genes; FDA approved drug targets:Small molecule drugs; Cancer-related genes:Mutational cancer driver genes; Human disease related genes:Congenital malformations:Other congenital malformations; Disease related genes; RAS pathway related proteins,Cell Junctions (Supported); Additional: Nucleoplasm;Vesicles,(M276)PID FGF PATHWAY,
87769,GGACT,gamma-glutamylamine cyclotransferase,GO:0042219 cellular modified amino acid catabolic process;GO:0006575 cellular modified amino acid metabolic process;GO:1901565 organonitrogen compound catabolic process,,ENZYME proteins:Lyases; Enzymes; Predicted intracellular proteins,,,
91851,CHRDL1,chordin like 1,GO:0097113 AMPA glutamate receptor clustering;GO:0097688 glutamate receptor clustering;GO:0072578 neurotransmitter-gated ion channel clustering,,Predicted secreted proteins; Human disease related genes:Nervous system diseases:Eye disease; Disease related genes,,(M181)PID BMP PATHWAY; (M5883)NABA SECRETED FACTORS; (M5885)NABA MATRISOME ASSOCIATED,
5734,PTGER4,prostaglandin E receptor 4,GO:2000419 regulation of eosinophil extravasation;GO:2000420 negative regulation of eosinophil extravasation;GO:2000417 negative regulation of eosinophil migration,,FDA approved drug targets:Small molecule drugs; G-protein coupled receptors:GPCRs excl olfactory receptors,,,(M5890)HALLMARK TNFA SIGNALING VIA NFKB; (M5932)HALLMARK INFLAMMATORY RESPONSE
830,CAPZA2,capping actin protein of muscle Z-line subunit alpha 2,GO:0051016 barbed-end actin filament capping;GO:0051693 actin filament capping;GO:0030835 negative regulation of actin filament depolymerization,,Predicted intracellular proteins,Cytosol (Approved),,
11259,FILIP1L,filamin A interacting protein 1 like,GO:0008150 biological_process,,Predicted intracellular proteins,Plasma membrane (Approved),,
1540,CYLD,CYLD lysine 63 deubiquitinase,GO:2000493 negative regulation of interleukin-18-mediated signaling pathway;GO:0097343 ripoptosome assembly;GO:1901026 ripoptosome assembly involved in necroptotic process,,Enzymes; Peptidases:Cysteine-type peptidases; Potential drug targets; Predicted intracellular proteins; Human disease related genes:Skin diseases:Skin and soft tissue diseases; ENZYME proteins:Hydrolases; Cancer-related genes:Mutational cancer driver genes; Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Disease related genes,Centriolar satellite (Supported); Additional: Nucleoplasm,(M37)PID NFKAPPAB CANONICAL PATHWAY; (M128)PID TNF PATHWAY,(M5902)HALLMARK APOPTOSIS
93986,FOXP2,forkhead box P2,GO:0021757 caudate nucleus development;GO:0021758 putamen development;GO:0021756 striatum development,,Predicted intracellular proteins; Transcription factors:Helix-turn-helix domains; Human disease related genes:Other diseases:Mental and behavioural disorders; Disease related genes,Nucleoplasm (Enhanced),,
2857,GPR34,G protein-coupled receptor 34,GO:0035589 G protein-coupled purinergic nucleotide receptor signaling pathway;GO:0035590 purinergic nucleotide receptor signaling pathway;GO:0007186 G protein-coupled receptor signaling pathway,,G-protein coupled receptors:GPCRs excl olfactory receptors,Cytosol (Approved),,
92610,TIFA,TRAF interacting protein with forkhead associated domain,GO:0033209 tumor necrosis factor-mediated signaling pathway;GO:0002753 cytoplasmic pattern recognition receptor signaling pathway;GO:0002221 pattern recognition receptor signaling pathway,,Predicted intracellular proteins,Nucleoli;Nucleoplasm (Approved); Additional: Cytosol,,
11228,RASSF8,Ras association domain family member 8,GO:0007165 signal transduction;GO:0023052 signaling;GO:0007154 cell communication,,Predicted intracellular proteins; Disease related genes,Cytosol;Mitochondria (Approved),,
2742,GLRA2,glycine receptor alpha 2,GO:0071361 cellular response to ethanol;GO:0071294 cellular response to zinc ion;GO:0010043 response to zinc ion,,Transporters:Transporter channels and pores; FDA approved drug targets:Small molecule drugs; Disease related genes,Plasma membrane;Vesicles (Approved),,
494143,CHAC2,ChaC glutathione specific gamma-glutamylcyclotransferase 2,GO:0006751 glutathione catabolic process;GO:0006750 glutathione biosynthetic process;GO:0019184 nonribosomal peptide biosynthetic process,,ENZYME proteins:Lyases; Enzymes; Predicted intracellular proteins,Cytosol (Approved),,
9934,P2RY14,purinergic receptor P2Y14,GO:0035589 G protein-coupled purinergic nucleotide receptor signaling pathway;GO:0035590 purinergic nucleotide receptor signaling pathway;GO:0007186 G protein-coupled receptor signaling pathway,,G-protein coupled receptors:GPCRs excl olfactory receptors; G-protein coupled receptors:Adenosine and adenine nucleotide receptors,,,(M5913)HALLMARK INTERFERON GAMMA RESPONSE
658,BMPR1B,bone morphogenetic protein receptor type 1B,GO:0001550 ovarian cumulus expansion;GO:1902731 negative regulation of chondrocyte proliferation;GO:0048165 fused antrum stage,yes,Enzymes; Human disease related genes:Congenital malformations:Congenital malformations of the musculoskeletal system; Potential drug targets; Kinases:TKL Ser/Thr protein kinases; CD markers; ENZYME proteins:Transferases; Predicted intracellular proteins; Disease related genes,,(M181)PID BMP PATHWAY,(M5908)HALLMARK ANDROGEN RESPONSE; (M5935)HALLMARK FATTY ACID METABOLISM; (M5956)HALLMARK KRAS SIGNALING DN
3006,H1-2,"H1.2 linker histone, cluster member",GO:0030261 chromosome condensation;GO:0045910 negative regulation of DNA recombination;GO:0006334 nucleosome assembly,,Predicted intracellular proteins,Nucleoli rim;Nucleoplasm (Supported),,(M5939)HALLMARK P53 PATHWAY
23283,CSTF2T,cleavage stimulation factor subunit 2 tau variant,GO:0031124 mRNA 3'-end processing;GO:0031123 RNA 3'-end processing;GO:0006397 mRNA processing,,Predicted intracellular proteins,Nucleoplasm (Enhanced); Additional: Vesicles,,
9963,SLC23A1,solute carrier family 23 member 1,GO:0015882 L-ascorbic acid transmembrane transport;GO:0070837 dehydroascorbic acid transport;GO:0019852 L-ascorbic acid metabolic process,,Transporters:Electrochemical Potential-driven transporters,,,(M5948)HALLMARK BILE ACID METABOLISM
10209,EIF1,eukaryotic translation initiation factor 1,"GO:1905744 regulation of mRNA cis splicing, via spliceosome;GO:1905746 positive regulation of mRNA cis splicing, via spliceosome;GO:0048026 positive regulation of mRNA splicing, via spliceosome",,Predicted intracellular proteins,,,(M5890)HALLMARK TNFA SIGNALING VIA NFKB
4988,OPRM1,opioid receptor mu 1,GO:0061358 negative regulation of Wnt protein secretion;GO:0071315 cellular response to morphine;GO:0071317 cellular response to isoquinoline alkaloid,,Human disease related genes:Other diseases:Mental and behavioural disorders; Transporters; FDA approved drug targets:Small molecule drugs; G-protein coupled receptors:GPCRs excl olfactory receptors,,(M28)PID IL4 2PATHWAY,
51691,LSM8,"LSM8 homolog, U6 small nuclear RNA associated","GO:0000377 RNA splicing, via transesterification reactions with bulged adenosine as nucleophile;GO:0000398 mRNA splicing, via spliceosome;GO:0000375 RNA splicing, via transesterification reactions",,Predicted intracellular proteins,Nucleoplasm;Vesicles (Approved),,
79161,TMEM243,transmembrane protein 243,,,Predicted intracellular proteins,,,
347240,KIF24,kinesin family member 24,GO:0007019 microtubule depolymerization;GO:1902018 negative regulation of cilium assembly;GO:0051261 protein depolymerization,,Predicted intracellular proteins,,,
23767,FLRT3,fibronectin leucine rich transmembrane protein 3,GO:0003345 proepicardium cell migration involved in pericardium morphogenesis;GO:0003344 pericardium morphogenesis;GO:0060973 cell migration involved in heart development,,Transporters:Accessory Factors Involved in Transport; Human disease related genes:Endocrine and metabolic diseases:Hypothalamus and pituitary gland diseases; Potential drug targets; Disease related genes,Plasma membrane (Supported); Additional: Cell Junctions;Cytosol,,
23452,ANGPTL2,angiopoietin like 2,GO:0007267 cell-cell signaling;GO:0023052 signaling;GO:0007154 cell communication,,Predicted secreted proteins; Predicted intracellular proteins,Golgi apparatus (Approved),(M16801)SIG REGULATION OF THE ACTIN CYTOSKELETON BY RHO GTPASES; (M5193)SIG CHEMOTAXIS; (M5883)NABA SECRETED FACTORS,
5532,PPP3CB,protein phosphatase 3 catalytic subunit beta,GO:1905673 positive regulation of lysosome organization;GO:0031987 locomotion involved in locomotory behavior;GO:1905949 negative regulation of calcium ion import across plasma membrane,,Enzymes; ENZYME proteins:Hydrolases; Predicted intracellular proteins,Cytosol (Supported); Additional: Nucleoplasm,(M235)PID TCR CALCIUM PATHWAY; (M290)PID IL12 STAT4 PATHWAY; (M175)PID ERBB2 ERBB3 PATHWAY,
9358,ITGBL1,integrin subunit beta like 1,GO:0033627 cell adhesion mediated by integrin;GO:0007229 integrin-mediated signaling pathway;GO:0007160 cell-matrix adhesion,,Predicted secreted proteins; Predicted intracellular proteins; Transporters,,,(M5953)HALLMARK KRAS SIGNALING UP
388015,RTL1,retrotransposon Gag like 1,,,,Cytosol (Approved),,
2823,GPM6A,glycoprotein M6A,GO:0051491 positive regulation of filopodium assembly;GO:0051489 regulation of filopodium assembly;GO:0003407 neural retina development,,Predicted intracellular proteins,,,
23741,EID1,EP300 interacting inhibitor of differentiation 1,GO:0000122 negative regulation of transcription by RNA polymerase II;GO:0007049 cell cycle;GO:0045892 negative regulation of DNA-templated transcription,,Predicted intracellular proteins,Nucleoplasm (Supported),,
7337,UBE3A,ubiquitin protein ligase E3A,GO:0035037 sperm entry;GO:1905528 positive regulation of Golgi lumen acidification;GO:1905526 regulation of Golgi lumen acidification,,Enzymes; Disease related genes; ENZYME proteins:Transferases; Predicted intracellular proteins; Human disease related genes:Other congenital disorders:Chromosomal abnormalities; Potential drug targets,Nucleoplasm (Approved); Additional: Cytosol,(M58)PID AR PATHWAY; (M105)PID TELOMERASE PATHWAY,
54456,MOV10L1,Mov10 like RNA helicase 1,GO:0141007 siRNA-mediated retrotransposon silencing by heterochromatin formation;GO:0141005 retrotransposon silencing by heterochromatin formation;GO:0034587 piRNA processing,,Enzymes; Disease related genes; Human disease related genes:Reproductive system diseases:Reproductive system diseases; Predicted intracellular proteins; ENZYME proteins:Hydrolases; Potential drug targets,,,
23682,RAB38,"RAB38, member RAS oncogene family",GO:0150173 positive regulation of phosphatidylcholine metabolic process;GO:2001247 positive regulation of phosphatidylcholine biosynthetic process;GO:2001245 regulation of phosphatidylcholine biosynthetic process,,Predicted intracellular proteins,Mitochondria;Nuclear bodies (Uncertain),(M236)PID DELTA NP63 PATHWAY,
64799,IQCH,IQ motif containing H,GO:0008150 biological_process,,Predicted intracellular proteins,Cytosol (Approved),,
347730,LRRTM1,leucine rich repeat transmembrane neuronal 1,GO:0099151 regulation of postsynaptic density assembly;GO:0099150 regulation of postsynaptic specialization assembly;GO:1905874 regulation of postsynaptic density organization,,Predicted intracellular proteins; Transporters:Accessory Factors Involved in Transport,Golgi apparatus (Approved),,
7150,TOP1,DNA topoisomerase I,GO:0040016 embryonic cleavage;GO:0006265 DNA topological change;GO:0032922 circadian regulation of gene expression,,Enzymes; Predicted intracellular proteins; ENZYME proteins:Isomerase; FDA approved drug targets:Biotech drugs; FDA approved drug targets:Small molecule drugs; Cancer-related genes; Disease related genes,Nucleoli fibrillar center;Nucleoplasm (Supported),(M220)PID CASPASE PATHWAY,(M5901)HALLMARK G2M CHECKPOINT; (M5945)HALLMARK HEME METABOLISM
2321,FLT1,fms related receptor tyrosine kinase 1,GO:0036323 vascular endothelial growth factor receptor-1 signaling pathway;GO:1990384 hyaloid vascular plexus regression;GO:0060033 anatomical structure regression,yes,Predicted secreted proteins; Enzymes; ENZYME proteins:Transferases; Cancer-related genes:Candidate cancer biomarkers; Kinases:Tyr protein kinases; FDA approved drug targets:Biotech drugs; FDA approved drug targets:Small molecule drugs; Disease related genes; RAS pathway related proteins,Plasma membrane (Supported); Additional: Actin filaments,(M137)PID VEGF VEGFR PATHWAY; (M226)PID VEGFR1 PATHWAY; (M33)PID GLYPICAN 1PATHWAY,
9037,SEMA5A,semaphorin 5A,GO:1990256 signal clustering;GO:0002043 blood vessel endothelial cell proliferation involved in sprouting angiogenesis;GO:0048842 positive regulation of axon extension involved in axon guidance,,Human disease related genes:Other congenital disorders:Chromosomal abnormalities; Predicted intracellular proteins,,(M5880)NABA ECM AFFILIATED; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,
257415,FAM133B,family with sequence similarity 133 member B,,,Predicted intracellular proteins,Nucleoli (Enhanced); Additional: Nucleoplasm,,
3326,HSP90AB1,heat shock protein 90 alpha family class B member 1,GO:1901389 negative regulation of transforming growth factor beta activation;GO:1902949 positive regulation of tau-protein kinase activity;GO:1905323 telomerase holoenzyme complex assembly,,Transporters:Accessory Factors Involved in Transport; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers; Cancer-related genes:Mutated cancer genes; Cancer-related genes:Mutational cancer driver genes,Cytosol (Supported),(M237)PID VEGFR1 2 PATHWAY,(M5926)HALLMARK MYC TARGETS V1
3184,HNRNPD,heterogeneous nuclear ribonucleoprotein D,GO:1904585 response to putrescine;GO:1904586 cellular response to putrescine;GO:1990828 hepatocyte dedifferentiation,,Predicted intracellular proteins,Nucleoplasm (Enhanced),,(M5901)HALLMARK G2M CHECKPOINT; (M5925)HALLMARK E2F TARGETS; (M5926)HALLMARK MYC TARGETS V1
212,ALAS2,5'-aminolevulinate synthase 2,GO:0042541 hemoglobin biosynthetic process;GO:0032364 intracellular oxygen homeostasis;GO:0006782 protoporphyrinogen IX biosynthetic process,,Enzymes; Potential drug targets; Human disease related genes:Congenital disorders of metabolism:Congenital disorders of cofactor/vitamin metabolism; Human disease related genes:Cardiovascular diseases:Hematologic diseases; ENZYME proteins:Transferases; Predicted intracellular proteins; Disease related genes,,,(M5945)HALLMARK HEME METABOLISM
7010,TEK,TEK receptor tyrosine kinase,GO:0048014 Tie signaling pathway;GO:0035022 positive regulation of Rac protein signal transduction;GO:0060347 heart trabecula formation,yes,Predicted secreted proteins; Enzymes; CD markers; ENZYME proteins:Transferases; Cancer-related genes:Candidate cancer biomarkers; Kinases:Tyr protein kinases; Human disease related genes:Congenital malformations:Congenital malformations of the circulatory system; FDA approved drug targets:Small molecule drugs; Human disease related genes:Congenital malformations:Congenital malformations of eye; Disease related genes; RAS pathway related proteins,Plasma membrane (Supported); Additional: Centriolar satellite,(M92)PID ANGIOPOIETIN RECEPTOR PATHWAY; (M100)PID SHP2 PATHWAY,
246175,CNOT6L,CCR4-NOT transcription complex subunit 6 like,GO:0010606 positive regulation of cytoplasmic mRNA processing body assembly;GO:0010603 regulation of cytoplasmic mRNA processing body assembly;GO:0000289 nuclear-transcribed mRNA poly(A) tail shortening,,Enzymes; ENZYME proteins:Hydrolases; Predicted intracellular proteins,Cytosol (Supported),,
57515,SERINC1,serine incorporator 1,GO:1904217 regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity;GO:1904219 positive regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity;GO:1904222 positive regulation of serine C-palmitoyltransferase activity,,,Cytosol (Approved),,(M5935)HALLMARK FATTY ACID METABOLISM
226,ALDOA,"aldolase, fructose-bisphosphate A","GO:0030388 fructose 1,6-bisphosphate metabolic process;GO:0006000 fructose metabolic process;GO:0046716 muscle cell cellular homeostasis",,Enzymes; Human disease related genes:Congenital disorders of metabolism:Congenital disorders of carbohydrate metabolism; Potential drug targets; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers; ENZYME proteins:Lyases; Disease related genes,Cytosol (Approved),(M255)PID HIF1 TFPATHWAY,(M5935)HALLMARK FATTY ACID METABOLISM; (M5941)HALLMARK UV RESPONSE UP; (M5891)HALLMARK HYPOXIA
151050,KANSL1L,KAT8 regulatory NSL complex subunit 1 like,,,Predicted intracellular proteins,Cytosol (Approved),,
8452,CUL3,cullin 3,GO:0001831 trophectodermal cellular morphogenesis;GO:0071630 nuclear protein quality control by the ubiquitin-proteasome system;GO:0140252 regulation protein catabolic process at postsynapse,,Human disease related genes:Urinary system diseases:Kidney diseases; Predicted intracellular proteins; Disease related genes,,(M90)PID WNT CANONICAL PATHWAY; (M14)PID AURORA B PATHWAY; (M166)PID ATF2 PATHWAY,(M5901)HALLMARK G2M CHECKPOINT
373509,USP50,ubiquitin specific peptidase 50,GO:0035063 nuclear speck organization;GO:0032741 positive regulation of interleukin-18 production;GO:0032661 regulation of interleukin-18 production,,Enzymes; Predicted intracellular proteins; Peptidases:Cysteine-type peptidases,,,
3151,HMGN2,high mobility group nucleosomal binding domain 2,GO:0061844 antimicrobial humoral immune response mediated by antimicrobial peptide;GO:0031640 killing of cells of another organism;GO:0141061 disruption of cell in another organism,,Predicted intracellular proteins,Nucleoplasm (Supported); Additional: Nucleoli,,(M5901)HALLMARK G2M CHECKPOINT
4907,NT5E,5'-nucleotidase ecto,GO:0046086 adenosine biosynthetic process;GO:0140928 inhibition of non-skeletal tissue mineralization;GO:0006196 AMP catabolic process,,Enzymes; Potential drug targets; CD markers; Predicted intracellular proteins; ENZYME proteins:Hydrolases; Human disease related genes:Cardiovascular diseases:Vascular diseases; Disease related genes,Plasma membrane (Supported); Additional: Cytosol;Nucleoplasm,(M255)PID HIF1 TFPATHWAY,(M5947)HALLMARK IL2 STAT5 SIGNALING; (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION; (M5937)HALLMARK GLYCOLYSIS
10026,PIGK,phosphatidylinositol glycan anchor biosynthesis class K,GO:0016255 attachment of GPI anchor to protein;GO:0006506 GPI anchor biosynthetic process;GO:0006505 GPI anchor metabolic process,,Enzymes; Disease related genes; Peptidases:Cysteine-type peptidases; Predicted intracellular proteins; Human disease related genes:Congenital disorders of metabolism:Congenital disorders of lipid/glycolipid metabolism; Potential drug targets,,,
