Gene,Gene Symbol,Description,Biological Process (GO),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Canonical Pathways,Hallmark Gene Sets
6133,RPL9,ribosomal protein L9,GO:0002181 cytoplasmic translation;GO:0006412 translation;GO:0043043 peptide biosynthetic process,Ribosomal proteins; Predicted intracellular proteins,Cytosol;Endoplasmic reticulum (Supported); Additional: Nucleoli,,(M5950)HALLMARK ALLOGRAFT REJECTION
6157,RPL27A,ribosomal protein L27a,GO:0002181 cytoplasmic translation;GO:0006412 translation;GO:0043043 peptide biosynthetic process,Ribosomal proteins; Predicted intracellular proteins,Cytosol;Endoplasmic reticulum (Enhanced),,
4297,KMT2A,lysine methyltransferase 2A,GO:0090310 negative regulation of DNA methylation-dependent heterochromatin formation;GO:0031452 negative regulation of heterochromatin formation;GO:0120262 negative regulation of heterochromatin organization,Enzymes; Potential drug targets; ENZYME proteins:Transferases; Predicted intracellular proteins; Cancer-related genes:Mutated cancer genes; Transcription factors:Zinc-coordinating DNA-binding domains; Human disease related genes:Cancers:Cancers of haematopoietic and lymphoid tissues; Cancer-related genes:Mutational cancer driver genes; Human disease related genes:Congenital malformations:Other congenital malformations; Disease related genes,Nucleoplasm (Supported); Additional: Cytosol,,
6161,RPL32,ribosomal protein L32,GO:0002181 cytoplasmic translation;GO:0006412 translation;GO:0043043 peptide biosynthetic process,Ribosomal proteins; Predicted intracellular proteins,Cytosol;Endoplasmic reticulum (Approved),,
406,BMAL1,basic helix-loop-helix ARNT like 1,GO:0090403 oxidative stress-induced premature senescence;GO:2000323 negative regulation of glucocorticoid receptor signaling pathway;GO:2000322 regulation of glucocorticoid receptor signaling pathway,Transcription factors:Basic domains; Predicted intracellular proteins,Nucleoplasm (Supported); Additional: Vesicles,(M95)PID CIRCADIAN PATHWAY,
266743,NPAS4,neuronal PAS domain protein 4,GO:0071386 cellular response to corticosterone stimulus;GO:0060080 inhibitory postsynaptic potential;GO:0007614 short-term memory,Transcription factors:Basic domains; Predicted intracellular proteins,,,
126298,IRGQ,immunity related GTPase Q,,Predicted intracellular proteins,Vesicles (Approved),,
2850,GPR27,G protein-coupled receptor 27,GO:1900738 positive regulation of phospholipase C-activating G protein-coupled receptor signaling pathway;GO:1900736 regulation of phospholipase C-activating G protein-coupled receptor signaling pathway;GO:0045745 positive regulation of G protein-coupled receptor signaling pathway,G-protein coupled receptors:GPCRs excl olfactory receptors,Nucleoplasm (Approved); Additional: Actin filaments;Cytosol;Plasma membrane,,
5621,PRNP,prion protein (Kanno blood group),GO:1902938 regulation of intracellular calcium activated chloride channel activity;GO:1902951 negative regulation of dendritic spine maintenance;GO:1900449 regulation of glutamate receptor signaling pathway,Disease related genes; Transporters:Transporter channels and pores; CD markers; Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Potential drug targets,Cytosol;Nuclear membrane (Approved); Additional: Vesicles,(M33)PID GLYPICAN 1PATHWAY,(M5938)HALLMARK REACTIVE OXYGEN SPECIES PATHWAY; (M5947)HALLMARK IL2 STAT5 SIGNALING; (M5909)HALLMARK MYOGENESIS
8482,SEMA7A,semaphorin 7A (JohnMiltonHagen blood group),GO:0060907 positive regulation of macrophage cytokine production;GO:0048843 negative regulation of axon extension involved in axon guidance;GO:0048841 regulation of axon extension involved in axon guidance,Human disease related genes:Digestive system diseases:Liver diseases; CD markers; Disease related genes; Blood group antigen proteins,Vesicles (Uncertain),(M5880)NABA ECM AFFILIATED; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,
